1.0C_Dch_Tmax,1.0C_Dch_Capacity,1.0C_Dch_duration,2.0C_Dch_Tmax,2.0C_Dch_Capacity,2.0C_Dch_duration,standard_dch_cycle_capacity,DCIR_1s,DCIR_SOC_1s,DCIR_2s,DCIR_SOC_2s,DCIR_4s,DCIR_SOC_4s,pulse_relaxation_timeseries,pOCV_timeseries
,,,,,,,,,,,,,,4.1666
,,,,,,,,,,,,,,4.1666
,,,,,,,,,,,,,,4.1666
,,,,,,,,,,,,,,4.1666
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1662
,,,,,,,,,,,,,,4.1658
,,,,,,,,,,,,,,4.1658
,,,,,,,,,,,,,,4.1656
,,,,,,,,,,,,,,4.1654
,,,,,,,,,,,,,,4.1654
,,,,,,,,,,,,,,4.1654
,,,,,,,,,,,,,,4.1652
,,,,,,,,,,,,,,4.1652
,,,,,,,,,,,,,,4.1654
,,,,,,,,,,,,,,4.1656
,,,,,,,,,,,,,,4.1654
,,,,,,,,,,,,,,4.165
,,,,,,,,,,,,,,4.165
,,,,,,,,,,,,,,4.1648
,,,,,,,,,,,,,,4.1646
,,,,,,,,,,,,,,4.1648
,,,,,,,,,,,,,,4.1648
,,,,,,,,,,,,,,4.1648
,,,,,,,,,,,,,,4.1644
,,,,,,,,,,,,,,4.1644
,,,,,,,,,,,,,,4.1642
,,,,,,,,,,,,,,4.1644
,,,,,,,,,,,,,,4.1644
,,,,,,,,,,,,,,4.1642
,,,,,,,,,,,,,,4.1642
,,,,,,,,,,,,,,4.164
,,,,,,,,,,,,,,4.1638
,,,,,,,,,,,,,,4.1638
,,,,,,,,,,,,,,4.1638
,,,,,,,,,,,,,,4.1638
,,,,,,,,,,,,,,4.1638
,,,,,,,,,,,,,,4.1634
,,,,,,,,,,,,,,4.1636
,,,,,,,,,,,,,,4.1636
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.163
,,,,,,,,,,,,,,4.163
,,,,,,,,,,,,,,4.1628
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.1632
,,,,,,,,,,,,,,4.1628
,,,,,,,,,,,,,,4.1628
,,,,,,,,,,,,,,4.1626
,,,,,,,,,,,,,,4.1626
,,,,,,,,,,,,,,4.1626
,,,,,,,,,,,,,,4.1622
,,,,,,,,,,,,,,4.1624
,,,,,,,,,,,,,,4.1622
,,,,,,,,,,,,,,4.1622
,,,,,,,,,,,,,,4.1622
,,,,,,,,,,,,,,4.1622
,,,,,,,,,,,,,,4.162
,,,,,,,,,,,,,,4.1618
,,,,,,,,,,,,,,4.1618
,,,,,,,,,,,,,,4.162
,,,,,,,,,,,,,,4.1618
,,,,,,,,,,,,,,4.1616
,,,,,,,,,,,,,,4.1616
,,,,,,,,,,,,,,4.1616
,,,,,,,,,,,,,,4.1614
,,,,,,,,,,,,,,4.1616
,,,,,,,,,,,,,,4.1614
,,,,,,,,,,,,,,4.1614
,,,,,,,,,,,,,,4.1612
,,,,,,,,,,,,,,4.1612
,,,,,,,,,,,,,,4.1612
,,,,,,,,,,,,,,4.1612
,,,,,,,,,,,,,,4.161
,,,,,,,,,,,,,,4.1608
,,,,,,,,,,,,,,4.1608
,,,,,,,,,,,,,,4.1606
,,,,,,,,,,,,,,4.1606
,,,,,,,,,,,,,,4.1604
,,,,,,,,,,,,,,4.1604
,,,,,,,,,,,,,,4.1602
,,,,,,,,,,,,,,4.1604
,,,,,,,,,,,,,,4.1606
,,,,,,,,,,,,,,4.161
,,,,,,,,,,,,,,4.1602
,,,,,,,,,,,,,,4.1602
,,,,,,,,,,,,,,4.1604
,,,,,,,,,,,,,,4.1602
,,,,,,,,,,,,,,4.1598
,,,,,,,,,,,,,,4.16
,,,,,,,,,,,,,,4.16
,,,,,,,,,,,,,,4.1596
,,,,,,,,,,,,,,4.1596
,,,,,,,,,,,,,,4.1596
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.1592
,,,,,,,,,,,,,,4.159
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1588
,,,,,,,,,,,,,,4.1588
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1588
,,,,,,,,,,,,,,4.1584
,,,,,,,,,,,,,,4.1584
,,,,,,,,,,,,,,4.1584
,,,,,,,,,,,,,,4.1582
,,,,,,,,,,,,,,4.1586
,,,,,,,,,,,,,,4.1582
,,,,,,,,,,,,,,4.1578
,,,,,,,,,,,,,,4.1582
,,,,,,,,,,,,,,4.158
,,,,,,,,,,,,,,4.1578
,,,,,,,,,,,,,,4.158
,,,,,,,,,,,,,,4.158
,,,,,,,,,,,,,,4.1576
,,,,,,,,,,,,,,4.1578
,,,,,,,,,,,,,,4.1576
,,,,,,,,,,,,,,4.1576
,,,,,,,,,,,,,,4.1576
,,,,,,,,,,,,,,4.1572
,,,,,,,,,,,,,,4.1572
,,,,,,,,,,,,,,4.1574
,,,,,,,,,,,,,,4.1572
,,,,,,,,,,,,,,4.157
,,,,,,,,,,,,,,4.1572
,,,,,,,,,,,,,,4.157
,,,,,,,,,,,,,,4.157
,,,,,,,,,,,,,,4.1568
,,,,,,,,,,,,,,4.1568
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1564
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1566
,,,,,,,,,,,,,,4.1564
,,,,,,,,,,,,,,4.1564
,,,,,,,,,,,,,,4.1562
,,,,,,,,,,,,,,4.156
,,,,,,,,,,,,,,4.1558
,,,,,,,,,,,,,,4.1558
,,,,,,,,,,,,,,4.1556
,,,,,,,,,,,,,,4.1556
,,,,,,,,,,,,,,4.1558
,,,,,,,,,,,,,,4.1554
,,,,,,,,,,,,,,4.1558
,,,,,,,,,,,,,,4.156
,,,,,,,,,,,,,,4.1558
,,,,,,,,,,,,,,4.1552
,,,,,,,,,,,,,,4.1552
,,,,,,,,,,,,,,4.1554
,,,,,,,,,,,,,,4.1556
,,,,,,,,,,,,,,4.1556
,,,,,,,,,,,,,,4.1552
,,,,,,,,,,,,,,4.1556
,,,,,,,,,,,,,,4.155
,,,,,,,,,,,,,,4.1548
,,,,,,,,,,,,,,4.1552
,,,,,,,,,,,,,,4.1552
,,,,,,,,,,,,,,4.1548
,,,,,,,,,,,,,,4.1546
,,,,,,,,,,,,,,4.1548
,,,,,,,,,,,,,,4.155
,,,,,,,,,,,,,,4.1544
,,,,,,,,,,,,,,4.1544
,,,,,,,,,,,,,,4.1544
,,,,,,,,,,,,,,4.1542
,,,,,,,,,,,,,,4.154
,,,,,,,,,,,,,,4.1542
,,,,,,,,,,,,,,4.1542
,,,,,,,,,,,,,,4.154
,,,,,,,,,,,,,,4.1542
,,,,,,,,,,,,,,4.154
,,,,,,,,,,,,,,4.1538
,,,,,,,,,,,,,,4.1536
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1536
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1536
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1532
,,,,,,,,,,,,,,4.1532
,,,,,,,,,,,,,,4.153
,,,,,,,,,,,,,,4.1534
,,,,,,,,,,,,,,4.1532
,,,,,,,,,,,,,,4.153
,,,,,,,,,,,,,,4.153
,,,,,,,,,,,,,,4.1528
,,,,,,,,,,,,,,4.153
,,,,,,,,,,,,,,4.1532
,,,,,,,,,,,,,,4.153
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1526
,,,,,,,,,,,,,,4.1524
,,,,,,,,,,,,,,4.1524
,,,,,,,,,,,,,,4.1524
,,,,,,,,,,,,,,4.1522
,,,,,,,,,,,,,,4.1522
,,,,,,,,,,,,,,4.1522
,,,,,,,,,,,,,,4.152
,,,,,,,,,,,,,,4.152
